"Metric",6/30/2025,3/31/2025,12/31/2024,9/30/2024,6/30/2024
"Operating Cash Flow",27867000,23952000,29935000,26811000,28858000
"Capital Expenditure",3462000,-3071000,-2940000,-2908000,-2151000
"Free Cash Flow",24405000,20881000,26995000,23903000,26707000
"Total Debt",101698000,98186000,96799000,106629000,101304000
"Common Stockholder Equity",65830000,66796000,66758000,56950000,66708000
"Total Liabilities Net Minority Interest",265665000,264437000,277327000,308030000,264904000
"Total Assets",331495000,331233000,344085000,364980000,331612000
"Shares Outstanding",14856722,14939315,15037874,15116786,15222259
"Net Income Common Stockholders",23434000,24780000,36330000,14736000,21448000
"Diluted Average Shares",14948179,15056133,15150865,15242853,15348175
"Diluted EPS",1.57,1.65,2.4,0.97,1.4
"Price",207.33,211.98,235.17,224.86,220.80
