Current,6/30/2025,3/31/2025,12/31/2024,9/30/2024,6/30/2024
Market Cap,3.78e12,3.05e12,3.32e12,3.77e12,3.52e12,3.23e12
Enterprise Value,3.82e12,3.10e12,3.36e12,3.81e12,3.56e12,3.27e12
Trailing P/E,38.76,31.96,35.26,41.19,35.46,32.76
Forward P/E,31.75,25.71,30.30,33.67,30.67,28.65
PEG Ratio (5yr expected),2.45,1.87,2.06,2.29,2.24,2.23
Price/Sales,9.44,7.79,8.59,9.87,9.38,8.62
Price/Book,57.59,45.63,49.71,66.14,52.80,43.21
Enterprise Value/Revenue,9.39,7.74,8.49,9.74,9.24,8.56
Enterprise Value/EBITDA,27.08,22.31,24.47,28.28,26.35,24.57
